edgeId,edge_coordinates,connected_edges
167469210#0,"[(24.47062353561298, 54.37112053726751), (24.470590910509184, 54.37105583601064), (24.470557795577456, 54.3709578143972), (24.470537152770046, 54.37085558919427), (24.47053123860425, 54.37078027459251)]","['418671474#10', '167469210#1']"
167469210#1,"[(24.470530143430693, 54.370727737625025), (24.47053264361766, 54.3706639828781), (24.470536345875757, 54.37063816842791)]","['167469210#0', '434371438#2']"
167469211#0,"[(24.47031428298863, 54.370309478799165), (24.470292696710114, 54.37031377332721), (24.47024031734997, 54.370317130155186)]","['413011795#12', '167469211#1']"
167469211#1,"[(24.47019328950215, 54.37031682575008), (24.47014014642196, 54.37031260541363)]","['167469211#0', '473449410#2']"
168757658,"[(24.476669702387248, 54.38982449825147), (24.47893366486141, 54.38829523745183), (24.479260146379264, 54.38808297308314), (24.480312068895067, 54.38737347221647), (24.480395481949206, 54.38731188665942)]","['227359907', '683409111#1']"
169549606#0,"[(24.473685107738568, 54.375066544859266), (24.473640736817, 54.37507890484482)]","['418671448#6', '169549606#1']"
169549606#1,"[(24.473591734840905, 54.37508445796087), (24.47355794381056, 54.37508239800198), (24.47353341249751, 54.37507304570133)]","['169549606#0', '418671474#2']"
169549607#0,"[(24.473977229419674, 54.37569299325602), (24.473967364332832, 54.37566026083246), (24.47396218216835, 54.37559577614076)]","['417706199#3', '169549607#1']"
169549607#1,"[(24.47396352283175, 54.37554308841749), (24.4739705114881, 54.37548821260921), (24.47397145424448, 54.37548533324022)]","['169549607#0', '418671498#2']"
170066465,"[(24.448837418706727, 54.38340778689596), (24.44883068440878, 54.383409799343085), (24.448828846041774, 54.383413090957106)]","['24178364#8', '24178363#2']"
170334924#0,"[(24.465051948037296, 54.352312257624845), (24.465051479384876, 54.352362753639056)]","['682784162#4', '170334924#1']"
170334924#1,"[(24.46504723219608, 54.35240879284239), (24.465046740979062, 54.35241166269055)]","['170334924#0', '682785831#0']"
170334925#0,"[(24.465397301872002, 54.352108805215146), (24.46539362529633, 54.352110164030044), (24.465347930166928, 54.35211378259889)]","['24156884#6', '170334925#1']"
170334925#1,"[(24.465306821093947, 54.352111290227526), (24.46528915897904, 54.35210771557698)]","['170334925#0', '682784161#0']"
170334927#0,"[(24.465210591268914, 54.352650805213244), (24.46523689247115, 54.352647789806404)]","['482775625#11', '170334927#1']"
170334927#1,"[(24.46527763030229, 54.35264969848469), (24.46531421933425, 54.35265692008474), (24.46534572626378, 54.352667699226586)]","['170334927#0', '682786740#0']"
177199257#0,"[(24.47154662438441, 54.36032566482582), (24.47155004464655, 54.36033545459369), (24.471556500193234, 54.36041046176113)]","['24160884#8', '177199257#1']"
177199257#1,"[(24.471556434885617, 54.360448034061406), (24.471556106738163, 54.36044991452477)]","['177199257#0', '473449416#0']"
177199258#0,"[(24.47176070577767, 54.36069740068571), (24.471762505029886, 54.3606970673115)]","['473449413#9', '177199258#1']"
177199258#1,"[(24.471807732244557, 54.360692475062166), (24.471846897877104, 54.36069737738196)]","['177199258#0', '682792055#0']"
177263169#0,"[(24.466037606981743, 54.36566017800642), (24.46601716968949, 54.36566306867643)]","['473449416#9', '177263169#1']"
177263169#1,"[(24.465968712166152, 54.36566358448097), (24.465965004489977, 54.36566316863484)]","['177263169#0', '434371440#0']"
177263170#0,"[(24.466264083083612, 54.366003350307025), (24.46626313179629, 54.365985029107414)]","['473449410#7', '177263170#1']"
177263170#1,"[(24.46626402774289, 54.36593807326867), (24.46626768361075, 54.3658941168093), (24.466270162506934, 54.36588617660172)]","['177263170#0', '473449413#0']"
