edgeId,edge_coordinates,connected_edges
434371589#2,"[(24.46285391860686, 54.37706180699123), (24.46271525748608, 54.37688857171305)]","['434371589#1', '90658079#1', '434371589#3']"
434371589#3,"[(24.46266931002414, 54.37683095252199), (24.461778701076966, 54.37573596933999)]","['434371589#2', '69021461#5', '24189961#0', '434371589#4']"
434371589#4,"[(24.46172230008942, 54.375668904517646), (24.461596590042134, 54.37552429484495)]","['-24189961#0', '434371589#3', '-473176605', '434371589#5']"
434371589#5,"[(24.461538164698002, 54.3754550042931), (24.461447980168742, 54.37534476141986)]","['434371589#4', '473176605', '91577732', '434371589#6']"
434371589#6,"[(24.461428976514167, 54.37532109608225), (24.46105371309411, 54.374844141326435)]","['-91577732', '434371589#5', '-91577732', '434371589#7']"
434371589#7,"[(24.461036914102344, 54.37482269829974), (24.460968058137627, 54.3747348900016)]","['434371589#6', '91577732', '24189962#0', '434371589#8']"
434371589#8,"[(24.460902445556602, 54.37465194471191), (24.46090124525997, 54.37465039194888)]","['-24189962#0', '434371589#7', '434371589#9']"
434371589#9,"[(24.46089054480299, 54.37463710518938), (24.460660952123867, 54.37435236744862)]","['434371589#8', '-24189964#1', '434371589#10']"
434473834,"[(24.461541425086942, 54.38709975104541), (24.461542756695003, 54.38709846634102)]","['432416069#16', '434473838', '434473835#0', '24157272']"
434473835#0,"[(24.46165109444652, 54.386995923713116), (24.461652426053497, 54.386994639006495)]","['434473834', '434473835#1']"
434473835#1,"[(24.461679332269444, 54.386969136419616), (24.46176982111031, 54.38688350310391)]","['434473835#0', '434473835#2']"
434473835#2,"[(24.46188576486215, 54.38677325975232), (24.463917219712748, 54.38486522858118)]","['177428131#1', '434473835#1', '24206858#0', '434473835#3']"
434473835#3,"[(24.464056573509563, 54.3847322864441), (24.46425732426918, 54.38454206634175), (24.46495949361282, 54.38387667036844), (24.466502586374215, 54.38241422731574)]","['434473835#2', '24206854']"
434473836,"[(24.46134536173035, 54.38685023656701), (24.461344030550688, 54.38685154591398)]","['24157272', '24206857#7', '434473839#0', '434473838']"
434473837#0,"[(24.461348722523017, 54.3867301651561), (24.4613475240458, 54.386728710830454)]","['24157272', '434473837#1']"
434473837#1,"[(24.461323483809625, 54.386698146711765), (24.461316677671427, 54.3866894867716)]","['434473837#0', '434473837#2']"
434473837#10,"[(24.45856720268521, 54.383232134502066), (24.458401241346937, 54.38302083425421)]","['434473837#9', '24206872#0', '434473837#11']"
434473837#11,"[(24.45835463831159, 54.382956498406415), (24.458206439207213, 54.382755899707895)]","['434473837#10', '24206952#0', '434473837#12']"
434473837#12,"[(24.45817028013188, 54.38270571936544), (24.458097137837957, 54.38260207264096)]","['434473837#11', '434473837#13']"
434473837#13,"[(24.458093971716895, 54.382597750318254), (24.458042258842056, 54.38253021728091)]","['434473837#12', '434473837#14']"
434473837#14,"[(24.458013331403738, 54.38249240997954), (24.45801215416671, 54.38249088134197)]","['434473837#13', '415113202']"
434473837#2,"[(24.46127971546242, 54.38664237738101), (24.46127604724562, 54.38663772009782)]","['396951306', '434473837#1', '434473837#3']"
434473837#3,"[(24.46119103600597, 54.38652999964251), (24.46092033989536, 54.38618712125574)]","['24206954#1', '434473837#2', '325353829', '434473837#4']"
434473837#4,"[(24.460838233938237, 54.386083014419455), (24.460836111479733, 54.386080321983016)]","['434473837#3', '434473837#5']"
434473837#5,"[(24.460699663765517, 54.38590794489295), (24.459548027918856, 54.38449862951367)]","['329614639', '434473837#4', '24206859', '434473837#6']"
434473837#6,"[(24.459475868383407, 54.38440215832609), (24.459425830813764, 54.384333603151)]","['434473837#5', '434473837#7']"
434473837#7,"[(24.459368528280528, 54.38425856710618), (24.45934419706897, 54.384230770838734)]","['393011770', '434473837#6', '434473837#8']"
434473837#8,"[(24.459315608505435, 54.384196875222166), (24.45912950663644, 54.38396126402089)]","['434473837#7', '389523417#0', '434473837#9']"
434473837#9,"[(24.459091816311084, 54.3839125443504), (24.458598403526658, 54.38327223695182)]","['434473837#8', '434473837#10']"
434473838,"[(24.461351226506427, 54.38698318264325), (24.4614242054389, 54.38707493146496)]","['399098935#16', '434473836', '77972407#0', '434473834']"
434473839#0,"[(24.461235633847735, 54.38695850215969), (24.461234302666934, 54.386959811504376)]","['434473836', '434473839#1']"
434473839#1,"[(24.461214912451922, 54.38697892207362), (24.46117435653613, 54.38701885612911)]","['434473839#0', '434473839#2']"
434473839#10,"[(24.4568966985012, 54.391084273185), (24.455936219738025, 54.39197942063044)]","['325353834', '434473839#9', '24206721#0', '434473839#11']"
434473839#11,"[(24.455812915830553, 54.39209882734661), (24.455660983834377, 54.392246012658205)]","['434473839#10', '434473839#12']"
434473839#12,"[(24.455537681369563, 54.39236551741432), (24.454979373850744, 54.3929102465278)]","['24206722#7', '434473839#11', '434473839#13']"
434473839#13,"[(24.45489674011118, 54.39298974364347), (24.45485587753993, 54.39302901445649)]","['434473839#12', '479390965', '-406895872', '434473839#14']"
434473839#14,"[(24.454747161437197, 54.393133451967934), (24.454713955189945, 54.393165293292896)]","['406895872', '434473839#13', '196106767', '434473839#15']"
434473839#15,"[(24.454660853893586, 54.393214503428254), (24.453942310257926, 54.3938857725676)]","['434473839#14', '434473839#16']"
434473839#16,"[(24.453908001975535, 54.39391783336602), (24.453429146635575, 54.39436507503002)]","['434473839#15', '434473839#17']"
434473839#17,"[(24.4533781174872, 54.39441278715868), (24.45333574618775, 54.394452260615445)]","['406899153', '434473839#16', '24206724#0', '434473839#18']"
434473839#18,"[(24.453259595381283, 54.39452568165342), (24.452999425999387, 54.39477782798045)]","['434473839#17', '434473839#19']"
434473839#19,"[(24.452950428848613, 54.39482562121113), (24.452081708265315, 54.39564189260702)]","['24206374#7', '434473839#18', '753395786', '434473839#20']"
434473839#2,"[(24.461115410042336, 54.387076992617764), (24.460825266512703, 54.387362969749375)]","['434473839#1', '86374313#1', '24206762', '434473839#3']"
434473839#20,"[(24.452011039078137, 54.395704797339256), (24.451932194920012, 54.39577647280345)]","['434473839#19', '434473839#21', '638365384#0']"
434473839#21,"[(24.451796476528255, 54.395905000993025), (24.451795054603817, 54.395906287358464)]","['434473839#20', '434473839#22']"
434473839#22,"[(24.451733939016542, 54.3959631780497), (24.451250928766715, 54.39641327472079), (24.45105363585555, 54.39659961302595)]","['434473839#21', '753395785', '434473839#23']"
434473839#23,"[(24.451051570413554, 54.396601528839156), (24.451000904260525, 54.39664940420768), (24.450994553860856, 54.396655376653534)]",['434473839#22']
434473839#3,"[(24.460730266244774, 54.387452614679695), (24.460493792641266, 54.387676766831625)]","['-24206762', '434473839#2', '-24206762', '434473839#4']"
434473839#4,"[(24.460404995298354, 54.38776108189313), (24.460324164159832, 54.38783633341183)]","['24206762', '434473839#3', '24206752#0', '434473839#5']"
434473839#5,"[(24.460281578905217, 54.38788158409476), (24.4602010065889, 54.38796397890439)]","['434473839#4', '434473839#6']"
434473839#6,"[(24.4601476985459, 54.38801938512504), (24.46007014723698, 54.38809641745869)]","['434473839#5', '479176856', '24206761', '434473839#7']"
434473839#7,"[(24.45998233221476, 54.38817753168827), (24.4587980981318, 54.389274471395424)]","['-24206761', '434473839#6', '-24206761', '434473839#8']"
434473839#8,"[(24.458703505424822, 54.38936166455838), (24.45703868492637, 54.390951833699454)]","['24206761', '434473839#7', '24206756', '434473839#9']"
434473839#9,"[(24.4569802843081, 54.39100640546593), (24.45695248181772, 54.391032319074874)]","['434473839#8', '434473839#10']"
442210669,"[(24.46723123262725, 54.39533380922998), (24.466395727300952, 54.39588813231741), (24.464489404114303, 54.39715867779798)]","['304107570#2', '482296526']"
472783427,"[(24.4645073533902, 54.38489913204347), (24.46450806605878, 54.38492465656871), (24.46449452936931, 54.385008160738565), (24.464486742296444, 54.385032776226275)]","['132911564#1', '118261385#2', '-118261385#1']"
472783428,"[(24.46437098525039, 54.38314852045303), (24.464503950737555, 54.383352845665435), (24.464544075007424, 54.383428732314776), (24.464561990565503, 54.383467804720894), (24.464570707079798, 54.38351249073486), (24.46456975123391, 54.38356151824225), (24.46455806883481, 54.383606132993975), (24.464534905662784, 54.38364447703797), (24.46439925217884, 54.38379558665291), (24.464300388315543, 54.38389781521114), (24.46411916814676, 54.38407570119612), (24.464066982899435, 54.38416848423971)]","['-473176598', '24206861#6', '24206857#2']"
473077071,"[(24.47150237317179, 54.35214255533103), (24.47155105002593, 54.35214942532881), (24.471581734648886, 54.35215963026192)]","['59988639#1', '478925564#0', '478925562']"
473143449#0,"[(24.457403638766998, 54.349150034012126), (24.45741453294847, 54.34914852407573)]","['59988644#2', '473143449#1']"
473143449#1,"[(24.457457368596884, 54.34914654243663), (24.45748888490327, 54.34914755863371)]","['473143449#0', '416297653#0']"
473167677,"[(24.450192841450882, 54.361429109357516), (24.45019151050284, 54.36143041882258)]","['479541270', '480867528', '682792325#1', '682792323#0']"
473167678#0,"[(24.45618183974299, 54.35567851594852), (24.455836770615118, 54.35601208611887)]","['682777339#1', '89642590#1', '451076867', '473167678#1']"
473167678#1,"[(24.45578351774171, 54.356063483739405), (24.45571668699367, 54.35612808132585)]","['473167678#0', '473167678#2']"
473167678#10,"[(24.452492700789524, 54.35923355488643), (24.452250991868887, 54.359465466110045)]","['24167586#2', '473167678#9', '479543071', '473167678#11']"
473167678#11,"[(24.45219782088188, 54.359516464662704), (24.45216613033239, 54.3595468030012)]","['473167678#10', '473167678#12']"
473167678#12,"[(24.452112872534883, 54.35959800048652), (24.451824649888476, 54.35987455816993)]","['473167678#11', '479543070', '479540502', '473167678#13']"
473167678#13,"[(24.45177236888945, 54.359924847642795), (24.45175896418143, 54.35993764881879)]","['473167678#12', '473167678#14']"
473167678#14,"[(24.45170570449889, 54.35998874741084), (24.451063126550782, 54.36060535148608)]","['473167678#13', '479540501', '479388111', '473167678#15']"
473167678#15,"[(24.451009866590166, 54.360656449509094), (24.450993178705808, 54.360672474012325)]","['473167678#14', '473167678#16']"
473167678#16,"[(24.450937876335093, 54.360725487859284), (24.45088443932468, 54.36077678665962)]","['473167678#15', '473430619', '473167678#17', '479541269#0']"
473167678#17,"[(24.450829836301455, 54.36082850409933), (24.45052798846281, 54.36111056553422)]","['473167678#16', '121822222#0', '682792325#0']"
473167678#2,"[(24.4556635225679, 54.356179378400704), (24.454268319376137, 54.357527751982836)]","['451076865', '473167678#1', '451076866', '473167678#3']"
473167678#3,"[(24.45418302870356, 54.35761028365828), (24.454151965001717, 54.357640314096116)]","['473167678#2', '473167678#4']"
473167678#4,"[(24.454101996192403, 54.357688585250116), (24.454074217217567, 54.35771549056998)]","['473167678#3', '473191063', '473167678#5']"
473167678#5,"[(24.454040401451337, 54.35774814192755), (24.45384549730729, 54.35793648814412)]","['473167678#4', '479537289', '473167678#6']"
473167678#6,"[(24.453792420623852, 54.35798768323818), (24.453730471747054, 54.35804764139706)]","['473167678#5', '473167678#7']"
473167678#7,"[(24.45367428725682, 54.35810176056794), (24.453326649173317, 54.358433300285384)]","['473167678#6', '479537288', '24167586#0', '473167678#8']"
473167678#8,"[(24.453277650084473, 54.35848026880436), (24.453059642249258, 54.35868940564341)]","['473167678#7', '473167678#9']"
473167678#9,"[(24.453025734279976, 54.35872195979378), (24.45253814816476, 54.359189914726265)]","['473167678#8', '473167678#10']"
473167679#0,"[(24.45068755677803, 54.36118286254673), (24.451876265077033, 54.36004444736599)]","['121822218#1', '682792324#1', '24167816', '473167679#1']"
473167679#1,"[(24.451929436274263, 54.359993449160584), (24.452011636228843, 54.35991473171399)]","['473167679#0', '473167679#2']"
473167679#10,"[(24.455879187502585, 54.35620277789203), (24.455934933839156, 54.35614945482826)]","['24167828#3', '473167679#9', '473167679#11', '479537285#0']"
473167679#11,"[(24.45596919682906, 54.35611659599058), (24.45602431848122, 54.356063680292)]","['473167679#10', '282221668', '473167679#12']"
473167679#12,"[(24.456079351614523, 54.356010864994126), (24.45611272788242, 54.35597891199165)]","['473167679#11', '473167679#13']"
473167679#13,"[(24.45616695934085, 54.355926704957305), (24.45628987064659, 54.355812424836145)]","['282221670', '473167679#12', '89642597#0', '682777333#0']"
473167679#2,"[(24.45206489759335, 54.35986373151689), (24.452398310773123, 54.35954432736801)]","['473167679#1', '479543069', '24167836#0', '473167679#3']"
473167679#3,"[(24.452451211098893, 54.35949333438138), (24.45312410662498, 54.358845618640025)]","['473167679#2', '473167679#4']"
473167679#4,"[(24.45315792440007, 54.35881306637421), (24.45393169441883, 54.358070951063794)]","['473167679#3', '473167679#5']"
473167679#5,"[(24.453986639918796, 54.35801823797876), (24.454053390045473, 54.357954136976396)]","['24167836#3', '473167679#4', '24167819', '473167679#6']"
473167679#6,"[(24.45410744707275, 54.35790223111009), (24.454138602777785, 54.357872297421814)]","['473167679#5', '473167679#7']"
473167679#7,"[(24.454168871776957, 54.35784326960257), (24.45417020268655, 54.35784196005749)]","['473167679#6', '473167679#8']"
473167679#8,"[(24.454220891592144, 54.35779357530535), (24.454331580531065, 54.357687343159576)]","['473167679#7', '479535698', '24167828#0', '473167679#9']"
473167679#9,"[(24.454384750748424, 54.35763634294928), (24.455825929385117, 54.356253879769326)]","['473167679#8', '473167679#10']"
473167680,"[(24.450323464823345, 54.361533954490305), (24.45032488771447, 54.361532741703826)]","['479541271', '480867530', '682792322#1', '682792324#0', '473167681']"
473167681,"[(24.45034859889976, 54.36143306120288), (24.450347398487196, 54.36143150869852)]","['473167680', '682792327#1', '479541270']"
473167682#0,"[(24.45251001682833, 54.364086511170086), (24.45250837736691, 54.36408565793103)]","['180172018#4', '473167682#1']"
473167682#1,"[(24.452476810788678, 54.3640610743534), (24.45244089719454, 54.364030468295965), (24.45204659140878, 54.363539878454965)]","['473167682#0', '141177034', '473167682#2']"
473167682#2,"[(24.45199067900914, 54.36347005337768), (24.451670788573374, 54.3630701044775)]","['-141177034', '473167682#1', '473167682#3']"
473167682#3,"[(24.451640623970356, 54.36303277323255), (24.450583627763663, 54.361738442425846)]","['473167682#2', '121822218#0', '682792327#0']"
473167683#0,"[(24.450455117008914, 54.36184247559815), (24.450660913519673, 54.362112282438815)]","['121822219#1', '682792328#1', '121822382#0', '473167683#1']"
473167683#1,"[(24.45072061670564, 54.36218725276501), (24.451472882086584, 54.36312303094585)]","['473167683#0', '473167683#2']"
473167683#2,"[(24.451502680619996, 54.3631600740044), (24.452107515546025, 54.36391248726868)]","['473167683#1', '473167683#3']"
473167683#3,"[(24.452154107342047, 54.36397057649775), (24.452298571598032, 54.364149775253495), (24.452334029064968, 54.36420080030039)]","['121822382#1', '473167683#2', '473167683#4']"
473167683#4,"[(24.452354871373306, 54.364236649957896), (24.452355535589668, 54.36423850946584)]","['473167683#3', '180172018#6']"
473167684,"[(24.45018511417593, 54.361498286692395), (24.45018622608725, 54.361499939634434)]","['682792329#1', '480867530', '480867528']"
473176588#0,"[(24.458896882735917, 54.37251749238979), (24.458793011462898, 54.37261677155872)]","['473176589', '473176596#2', '473176588#1']"
473176588#1,"[(24.45868887801401, 54.3727165490125), (24.458520070047538, 54.37287042062534), (24.458166482119996, 54.373204327654015)]","['473176588#0', '75219634', '-24177925#3', '473176588#2']"
473176588#2,"[(24.458067730067814, 54.37329699172978), (24.45675255361012, 54.37452326438344)]","['24177925#3', '473176588#1', '479337858', '473176588#3']"
473176588#3,"[(24.45670219406847, 54.374570158082214), (24.456700771066437, 54.374571370800965)]","['473176588#2', '473176588#4']"
473176588#4,"[(24.45664196542601, 54.37462563746036), (24.456143053080755, 54.375073275761096)]","['473176588#3', '479337857', '479346561', '473176588#5']"
473176588#5,"[(24.45607710873862, 54.375137451359365), (24.45606415547151, 54.37515034074578)]","['473176588#4', '473176588#6']"
473176588#6,"[(24.45600798999154, 54.3752059325077), (24.4557053493348, 54.37550633053538), (24.454738768398464, 54.376428944240544)]","['473176588#5', '479346562', '479346563', '473176588#7']"
473176588#7,"[(24.45468460386574, 54.376480253604676), (24.45467217296709, 54.37649204729179)]","['473176588#6', '473176588#8']"
473176588#8,"[(24.454617654363872, 54.37654375833365), (24.45414029563386, 54.377001189235365), (24.454093871035578, 54.3770304488572)]","['473176588#7', '479346564', '473176588#9']"
473176588#9,"[(24.45406510857332, 54.37704770790924), (24.45406340119109, 54.3770481376763)]","['473176588#8', '24157062#3']"
473176589,"[(24.45901212919999, 54.3724080180946), (24.45901079815604, 54.37240932755441)]","['24156849#11', '473176594', '473176588#0', '473176595']"
473176590,"[(24.459113045302594, 54.37253321873095), (24.459114466569677, 54.37253190739833)]","['473176591#6', '473176595', '24156847#0', '473176594']"
473176591#0,"[(24.454199821688338, 54.37724832609009), (24.454200422449503, 54.377246538868036)]","['24157062#1', '473176591#1']"
473176591#1,"[(24.45422659996872, 54.377199950969164), (24.45425353735017, 54.37716074221509), (24.454718816088555, 54.37669370182471)]","['473176591#0', '-479324622#11', '473176591#2']"
473176591#2,"[(24.45481689122114, 54.37659829621242), (24.456167733285653, 54.37532498315217), (24.456766268814686, 54.374777566604116)]","['473176591#1', '479324622#11', '479186068', '473176591#3']"
473176591#3,"[(24.45681913067012, 54.37472924065372), (24.456820817489344, 54.374727628061734)]","['473176591#2', '473176591#4']"
473176591#4,"[(24.456883973829534, 54.374669228505205), (24.45823806134544, 54.37337085946005)]","['24187189', '473176591#3', '-69021076#4', '473176591#5']"
473176591#5,"[(24.45833507693652, 54.37327694951162), (24.458792679718027, 54.37283123791146)]","['473176591#4', '69021076#4', '75374708', '473176591#6']"
473176591#6,"[(24.45891286465828, 54.37272028104948), (24.45898249825622, 54.372655533090736)]","['473176591#5', '24157058#0', '473176590']"
473176593#0,"[(24.45901557375434, 54.37228952533716), (24.45896895209777, 54.37222955705844)]","['24156849#11', '473176594', '473176593#1']"
473176593#1,"[(24.458883831717092, 54.37212000241644), (24.45855281280717, 54.37169657632289)]","['473176593#0', '91577722', '480464764#0', '473176593#2']"
473176593#2,"[(24.458464411522282, 54.371585217098925), (24.45838634482857, 54.37148685604956)]","['473176593#1', '473176593#3']"
473176593#3,"[(24.458338727028085, 54.371426711851065), (24.457441119031245, 54.37029458009145)]","['473176593#2', '480464765', '473176593#4']"
473176593#4,"[(24.457393960513993, 54.370234920257865), (24.456010141366587, 54.368511846507836)]","['473176593#3', '480464764#1', '24177928', '473176593#5']"
473176593#5,"[(24.455962345547093, 54.36845190546793), (24.455913533232888, 54.368390605210045)]","['473176593#4', '473176593#6']"
473176593#6,"[(24.45586693772453, 54.36833221690239), (24.45560424057654, 54.368002538755526), (24.455544331108428, 54.36786377334628), (24.455535050877703, 54.367823244805024)]","['473176593#5', '480469179', '24157056#3']"
473176594,"[(24.459115712875224, 54.37242193997061), (24.45911460278106, 54.37242038537838)]","['434371589#11', '473176590', '473176593#0', '473176589']"
473176595,"[(24.459004661639245, 54.37252353769424), (24.45900577173232, 54.37252509228622)]","['473176589', '473176596#2', '24157058#0', '473176590']"
473176596#0,"[(24.45535922839895, 54.36800418168882), (24.455468527807476, 54.36808197187561), (24.456691403876455, 54.36960151437132)]","['24157056#1', '24177915#0', '473176596#1']"
473176596#1,"[(24.456777112741843, 54.36970848957913), (24.4587096005728, 54.372133282627075)]","['-24177915#0', '473176596#0', '75219634', '473176596#2']"
473176596#2,"[(24.458800508432063, 54.37225385902086), (24.458906276258254, 54.37239335452366)]","['473176596#1', '473176588#0', '473176595']"
473189448,"[(24.472351800823716, 54.3918723628483), (24.47235216692582, 54.39192491637393)]","['418671572#18', '519903195', '817157490']"
473189451#0,"[(24.47228947241733, 54.39175698803572), (24.472287956498914, 54.391758054734524)]","['519903195', '473189451#1']"
473189451#1,"[(24.47224153754953, 54.39178780698406), (24.472023291088405, 54.39192316679474)]","['473189451#0', '227300453#0']"
473189453#0,"[(24.47247738147001, 54.39114289188704), (24.472481338027332, 54.39060398506003), (24.472474346894714, 54.390335209798664), (24.47245596331585, 54.3900652890647), (24.47242699954802, 54.389809885733335), (24.472365973990467, 54.38946974486316)]","['227300452#1', '519903196#1', '227103771', '473189453#1']"
473189453#1,"[(24.472324660726947, 54.38930926575615), (24.472299037246646, 54.38921581593751)]","['473189453#0', '150783617#0']"
473426804#0,"[(24.453833467187096, 54.35279400415323), (24.4538463411143, 54.35279215741615)]","['682777579#1', '473426804#1']"
473426804#1,"[(24.453899630448465, 54.3527892684299), (24.453928625819994, 54.352790634102575)]","['473426804#0', '297218053#0']"
473428552#0,"[(24.452131238394056, 54.35073680118671), (24.45213296468058, 54.350737455236214)]","['24157136#1', '473428552#1']"
473428552#1,"[(24.452189572616998, 54.35076427197541), (24.452262030624603, 54.3508045605108), (24.452362333732744, 54.3508938602132), (24.452500840938296, 54.351041321150404)]","['473428552#0', '473428549', '473428552#2']"
473428552#2,"[(24.452551613735288, 54.351095669871995), (24.45265545798905, 54.35120678425885)]","['473428552#1', '473428552#3']"
473428552#3,"[(24.452709714405906, 54.35126421531179), (24.45306052766876, 54.35166053009163)]","['24165472', '473428552#2', '479542249', '473428552#4']"
473428552#4,"[(24.453103142815372, 54.351707753789945), (24.45310433986767, 54.3517091091023)]","['473428552#3', '473428552#5']"
473428552#5,"[(24.453146585482056, 54.35175584757979), (24.4531478727546, 54.35175720100595)]","['473428552#4', '479542248', '473428552#6', '479557071#0']"
473428552#6,"[(24.453192980836832, 54.351807626313175), (24.453460051705587, 54.352106901438944)]","['473428552#5', '24160915#0', '682777581#0']"
473432071#0,"[(24.46997978147735, 54.37074124665648), (24.469978404491677, 54.37074250790764)]","['434371439', '473432071#1']"
473432071#1,"[(24.469941844984106, 54.37077583388458), (24.46989722268672, 54.370816501327006)]","['473432071#0', '473432071#2']"
473432071#2,"[(24.469802979139153, 54.37089712647116), (24.468929987652547, 54.37173037741405)]","['167469208#1', '473432071#1', '478882093', '473432071#3']"
473432071#3,"[(24.468880375571974, 54.371777360255415), (24.468130637097037, 54.37248832753384)]","['473432071#2', '473432071#4']"
473432071#4,"[(24.46807882774479, 54.372537426192046), (24.467918917524617, 54.372689079840455)]","['473432071#3', '478882093', '330343692', '473432071#5']"
473432071#5,"[(24.467879983222428, 54.37272600392574), (24.46787858408942, 54.37272729024544)]","['473432071#4', '434371442#0']"
473432072,"[(24.46907295652101, 54.37723000323751), (24.46911193513918, 54.37720335927831)]","['478919159#3', '478919725#0', '-298218416']"
473432076#0,"[(24.468080197422058, 54.37281461316598), (24.4682037925837, 54.3726973886762)]","['244931853', '434371587#13', '244983084', '473432076#1']"
473432076#1,"[(24.468257420672053, 54.37264647728787), (24.469198173425617, 54.37175340304912)]","['473432076#0', '473432076#2']"
473432076#2,"[(24.46927073557621, 54.37168454488329), (24.469352420446356, 54.37160701662894)]","['244983082#1', '473432076#1', '473432076#3', '482522766#0']"
473432076#3,"[(24.469377293132876, 54.37158411536133), (24.469956781521134, 54.37106354062)]","['473432076#2', '167469209#0', '473432076#4']"
473432076#4,"[(24.470050748436066, 54.37097609243674), (24.47006298601138, 54.370964892332935)]","['473432076#3', '473432076#5']"
473432076#5,"[(24.47006505192186, 54.3709630251019), (24.470084063372198, 54.37094561966323)]","['473432076#4', '473432076#6']"
473432076#6,"[(24.470115334088373, 54.370916964349696), (24.470116732772944, 54.370915653342465)]","['473432076#5', '434371435']"
473445038#0,"[(24.475594136054916, 54.364985745662814), (24.475593025874687, 54.36498419095553)]","['480740264#1', '480740271', '473445038#1']"
473445038#1,"[(24.47556556783322, 54.36494679632716), (24.475511579744587, 54.36487346700601)]","['473445038#0', '473445038#2']"
473445038#2,"[(24.475435184216188, 54.36476253935509), (24.474952620146706, 54.36417962610954)]","['24207132#1', '473445038#1', '218412886', '473445038#3']"
473445038#3,"[(24.474902632691098, 54.36411834364908), (24.474223976259584, 54.36328914266565)]","['473445038#2', '473445038#4']"
473445038#4,"[(24.474168005347536, 54.363221181308106), (24.473842505862315, 54.3628155658586)]","['218412886', '473445038#3', '473445038#5']"
473445038#5,"[(24.47381040132002, 54.36277570515797), (24.471977041208856, 54.360500988633085)]","['473445038#4', '473445038#6']"
473445038#6,"[(24.47196255603478, 54.360482949099435), (24.47196135731677, 54.36048149493616)]","['473445038#5', '682786738#0']"
473449409,"[(24.46603631441646, 54.36588621296277), (24.466034010745407, 54.3658834999132)]","['473449414', '682791876#1', '682791888#0', '473449415']"
473449410#0,"[(24.470146516197993, 54.37047757214845), (24.470145339696177, 54.37047609278721)]","['434371437', '482522767', '473449410#1']"
473449410#1,"[(24.470123956229713, 54.37044927135872), (24.470078813724164, 54.37039267027881)]","['473449410#0', '473449410#2']"
473449410#2,"[(24.47000335259634, 54.370296293712215), (24.469890244838954, 54.37016044204543)]","['167469211#1', '473449410#1', '-478891156#1', '473449410#3']"
473449410#3,"[(24.469833372330612, 54.370093656948065), (24.468870149701136, 54.36899090887217)]","['473449410#2', '478891156#1', '478876281', '473449410#4']"
473449410#4,"[(24.468816505519847, 54.36893202043306), (24.46881521751608, 54.368930617377835)]","['473449410#3', '473449410#5']"
473449410#5,"[(24.468764873013097, 54.36887592523536), (24.468270799550037, 54.36833467850585), (24.46805784754609, 54.36810178056079)]","['473449410#4', '478876280', '473449410#6']"
473449410#6,"[(24.468025966499688, 54.36806689518871), (24.467495010351776, 54.36748616515831)]","['473449410#5', '177199262#0', '473449410#7']"
473449410#7,"[(24.467435066521833, 54.367420580421864), (24.46695601984065, 54.36689638730552), (24.46628629856888, 54.36618006099183)]","['-177199262#0', '473449410#6', '177263170#0', '682791876#0']"
473449411#0,"[(24.46615725410939, 54.36624067896538), (24.466554894849914, 54.36671836596636), (24.466846593008025, 54.36704172012125)]","['109859946#1', '682791875#1', '207701105', '473449411#1']"
473449411#1,"[(24.466890216775028, 54.36709009174386), (24.467118781318877, 54.367343541352284)]","['473449411#0', '473449411#2']"
473449411#2,"[(24.467188946799936, 54.36742079552887), (24.467873142542416, 54.36814324203196)]","['207701105', '473449411#1', '473449411#3']"
473449411#3,"[(24.46794980253506, 54.36822418311276), (24.467973868933605, 54.368249567375166)]","['473449411#2', '24189947', '473449411#4']"
473449411#4,"[(24.46804052313923, 54.36832475085593), (24.46807314714804, 54.368362135379634)]","['473449411#3', '473449411#5']"
473449411#5,"[(24.46812354461371, 54.36841985815904), (24.46911679304571, 54.36956738119205)]","['473449411#4', '478884045', '24189926', '473449411#6']"
473449411#6,"[(24.469167021506596, 54.36962449212646), (24.469448295441342, 54.369944279793835)]","['473449411#5', '167469208#0', '473449411#7']"
473449411#7,"[(24.46971942451964, 54.370271083873774), (24.46993616764285, 54.37052750233295)]","['473449411#6', '473449411#8']"
473449411#8,"[(24.46993875091943, 54.37053072744519), (24.469977020087114, 54.37058263945261)]","['473449411#7', '473449411#9']"
473449411#9,"[(24.469997231504532, 54.370609534541835), (24.469998408005015, 54.37061101390286)]","['473449411#8', '434371441']"
473449412,"[(24.465920765313193, 54.365993536516015), (24.465922238079926, 54.36599518218195)]","['473449415', '682791889#1', '682791875#0', '473449414']"
473449413#0,"[(24.46632209469133, 54.36572781641527), (24.46752620397425, 54.36459123257437)]","['177263170#1', '682791880#1', '177199261#0', '473449413#1']"
473449413#1,"[(24.467568558435662, 54.3645513014104), (24.467681767385933, 54.3644444182449)]","['473449413#0', '473449413#2']"
473449413#2,"[(24.467724120079254, 54.36440438840848), (24.4679000153836, 54.364238315786615)]","['473445423#1', '473449413#1', '473449413#3']"
473449413#3,"[(24.46793420010917, 54.3642060488422), (24.468228542400905, 54.36392815057846)]","['473449413#2', '-480453535', '473449413#4']"
473449413#4,"[(24.468308100628086, 54.36385312786527), (24.4699794932113, 54.3622752479383)]","['473449413#3', '480453535', '177199259', '473449413#5']"
473449413#5,"[(24.470025664444677, 54.36223168563587), (24.470120845732122, 54.36214174065137)]","['473449413#4', '473449413#6']"
473449413#6,"[(24.470164530327224, 54.36210049813768), (24.470681642079168, 54.3616123407641)]","['473445425', '473449413#5', '480453534', '473449413#7']"
